
DECIMAL   	HEX       	DESCRIPTION
13906176  	0xD43100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13908224  	0xD43900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13910272  	0xD44100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13912320  	0xD44900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13914368  	0xD45100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13916416  	0xD45900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13918464  	0xD46100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13920512  	0xD46900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13922560  	0xD47100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13924608  	0xD47900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13926656  	0xD48100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13928704  	0xD48900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13930752  	0xD49100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13932800  	0xD49900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13934848  	0xD4A100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13936896  	0xD4A900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13938944  	0xD4B100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13940992  	0xD4B900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13943040  	0xD4C100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13945088  	0xD4C900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13947136  	0xD4D100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13949184  	0xD4D900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13951232  	0xD4E100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13953280  	0xD4E900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13955328  	0xD4F100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13957376  	0xD4F900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13959424  	0xD50100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13961472  	0xD50900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13963520  	0xD51100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13965568  	0xD51900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13967616  	0xD52100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13969664  	0xD52900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13971712  	0xD53100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13973760  	0xD53900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13975808  	0xD54100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13977856  	0xD54900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13979904  	0xD55100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13981952  	0xD55900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13984000  	0xD56100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13986048  	0xD56900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13988096  	0xD57100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13990144  	0xD57900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13992192  	0xD58100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13994240  	0xD58900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13994241  	0xD58901  	Microsoft MS-DOS executable
13996288  	0xD59100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13996289  	0xD59101  	Microsoft MS-DOS executable
13998336  	0xD59900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14000384  	0xD5A100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14000385  	0xD5A101  	Microsoft MS-DOS executable
14002432  	0xD5A900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14002433  	0xD5A901  	Microsoft MS-DOS executable
14004480  	0xD5B100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14004481  	0xD5B101  	Microsoft MS-DOS executable
14006528  	0xD5B900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14006529  	0xD5B901  	Microsoft MS-DOS executable
14008576  	0xD5C100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14008577  	0xD5C101  	Microsoft MS-DOS executable
14010624  	0xD5C900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14010625  	0xD5C901  	Microsoft MS-DOS executable
14012672  	0xD5D100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14012673  	0xD5D101  	Microsoft MS-DOS executable
14014720  	0xD5D900  	PC bitmap, Windows 3.x format, 1 x 7 x 1
14016768  	0xD5E100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
14016769  	0xD5E101  	Microsoft MS-DOS executable
14018816  	0xD5E900  	PC bitmap, Windows 3.x format, 56 x 38 x 1
14020864  	0xD5F100  	PC bitmap, Windows 3.x format, 28 x 18 x 1
14022912  	0xD5F900  	PC bitmap, Windows 3.x format, 28 x 19 x 1
14024960  	0xD60100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14027008  	0xD60900  	PC bitmap, Windows 3.x format, 23 x 35 x 1
14029056  	0xD61100  	PC bitmap, Windows 3.x format, 23 x 35 x 1
14031104  	0xD61900  	PC bitmap, Windows 3.x format, 23 x 35 x 1
14033152  	0xD62100  	PC bitmap, Windows 3.x format, 12 x 38 x 1
14035200  	0xD62900  	PC bitmap, Windows 3.x format, 7 x 31 x 1
14037248  	0xD63100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14039296  	0xD63900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14041344  	0xD64100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14043392  	0xD64900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14045440  	0xD65100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14047488  	0xD65900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14049536  	0xD66100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14051584  	0xD66900  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14053632  	0xD67100  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14055680  	0xD67900  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14057728  	0xD68100  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14059776  	0xD68900  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14061824  	0xD69100  	PC bitmap, Windows 3.x format, 54 x 8 x 1
14063872  	0xD69900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
14065920  	0xD6A100  	PC bitmap, Windows 3.x format, 33 x 11 x 1
14067968  	0xD6A900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
14070016  	0xD6B100  	PC bitmap, Windows 3.x format, 11 x 3 x 1
14072064  	0xD6B900  	PC bitmap, Windows 3.x format, 11 x 3 x 1
14074112  	0xD6C100  	PC bitmap, Windows 3.x format, 11 x 3 x 1
14076160  	0xD6C900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14078208  	0xD6D100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14080256  	0xD6D900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14082304  	0xD6E100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14084352  	0xD6E900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14086400  	0xD6F100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14088448  	0xD6F900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14090496  	0xD70100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14092544  	0xD70900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14094592  	0xD71100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14096640  	0xD71900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14098688  	0xD72100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14100736  	0xD72900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14102784  	0xD73100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14104832  	0xD73900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14106880  	0xD74100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14108928  	0xD74900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14110976  	0xD75100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14113024  	0xD75900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14115072  	0xD76100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14117120  	0xD76900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14119168  	0xD77100  	PC bitmap, Windows 3.x format, 56 x 38 x 1
14121216  	0xD77900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14123264  	0xD78100  	PC bitmap, Windows 3.x format, 21 x 36 x 1
14125312  	0xD78900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14127360  	0xD79100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14129408  	0xD79900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14131456  	0xD7A100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14133504  	0xD7A900  	PC bitmap, Windows 3.x format, 58 x 35 x 1
14135552  	0xD7B100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14137600  	0xD7B900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14139648  	0xD7C100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14141696  	0xD7C900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14143744  	0xD7D100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14145792  	0xD7D900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14147840  	0xD7E100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14149888  	0xD7E900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14151936  	0xD7F100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14153984  	0xD7F900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14156032  	0xD80100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14158080  	0xD80900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14160128  	0xD81100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14162176  	0xD81900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14164224  	0xD82100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14166272  	0xD82900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14168320  	0xD83100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14170368  	0xD83900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14172416  	0xD84100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14174464  	0xD84900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14176512  	0xD85100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14178560  	0xD85900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14180608  	0xD86100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14182656  	0xD86900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14184704  	0xD87100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14186752  	0xD87900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14188800  	0xD88100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14190848  	0xD88900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14192896  	0xD89100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14194944  	0xD89900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14196992  	0xD8A100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14199040  	0xD8A900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14201088  	0xD8B100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14203136  	0xD8B900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14205184  	0xD8C100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14207232  	0xD8C900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14209280  	0xD8D100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14211328  	0xD8D900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
14213376  	0xD8E100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
14215424  	0xD8E900  	PC bitmap, Windows 3.x format, 2 x 11 x 1
14217472  	0xD8F100  	PC bitmap, Windows 3.x format, 2 x 11 x 1
14219520  	0xD8F900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14221568  	0xD90100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14223616  	0xD90900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14225664  	0xD91100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14227712  	0xD91900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14229760  	0xD92100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14231808  	0xD92900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14233856  	0xD93100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14235904  	0xD93900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14237952  	0xD94100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14240000  	0xD94900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14242048  	0xD95100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14244096  	0xD95900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14246144  	0xD96100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14248192  	0xD96900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14250240  	0xD97100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14252288  	0xD97900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14254336  	0xD98100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14256384  	0xD98900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14258432  	0xD99100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14260480  	0xD99900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14262528  	0xD9A100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14264576  	0xD9A900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14266624  	0xD9B100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14268672  	0xD9B900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14270720  	0xD9C100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14272768  	0xD9C900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14274816  	0xD9D100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14276864  	0xD9D900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14278912  	0xD9E100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14280960  	0xD9E900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14283008  	0xD9F100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14285056  	0xD9F900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14287104  	0xDA0100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14289152  	0xDA0900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14291200  	0xDA1100  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14293248  	0xDA1900  	PC bitmap, Windows 3.x format, 8 x 11 x 1
14295296  	0xDA2100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
14297344  	0xDA2900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
14299392  	0xDA3100  	PC bitmap, Windows 3.x format, 2 x 11 x 1
14301440  	0xDA3900  	PC bitmap, Windows 3.x format, 2 x 11 x 1
14303488  	0xDA4100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14305536  	0xDA4900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
14307584  	0xDA5100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
14309632  	0xDA5900  	PC bitmap, Windows 3.x format, 11 x 9 x 1
14311680  	0xDA6100  	PC bitmap, Windows 3.x format, 11 x 9 x 1
14313728  	0xDA6900  	PC bitmap, Windows 3.x format, 11 x 9 x 1
14315776  	0xDA7100  	PC bitmap, Windows 3.x format, 11 x 9 x 1
14317824  	0xDA7900  	PC bitmap, Windows 3.x format, 11 x 9 x 1
14319872  	0xDA8100  	PC bitmap, Windows 3.x format, 16 x 9 x 1
14321920  	0xDA8900  	PC bitmap, Windows 3.x format, 16 x 9 x 1
14323968  	0xDA9100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
14323969  	0xDA9101  	Microsoft MS-DOS executable
14326016  	0xDA9900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14328064  	0xDAA100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14330112  	0xDAA900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14332160  	0xDAB100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14334208  	0xDAB900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
14336256  	0xDAC100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14338304  	0xDAC900  	PC bitmap, Windows 3.x format, 44 x 28 x 1
14340352  	0xDAD100  	PC bitmap, Windows 3.x format, 52 x 11 x 1
14342400  	0xDAD900  	PC bitmap, Windows 3.x format, 52 x 11 x 1
14344448  	0xDAE100  	PC bitmap, Windows 3.x format, 52 x 10 x 1
14346496  	0xDAE900  	PC bitmap, Windows 3.x format, 52 x 10 x 1
14348544  	0xDAF100  	PC bitmap, Windows 3.x format, 52 x 10 x 1
14350592  	0xDAF900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14352640  	0xDB0100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14354688  	0xDB0900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14356736  	0xDB1100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14358784  	0xDB1900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14360832  	0xDB2100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14362880  	0xDB2900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14364928  	0xDB3100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14366976  	0xDB3900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14369024  	0xDB4100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14371072  	0xDB4900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14373120  	0xDB5100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14375168  	0xDB5900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14377216  	0xDB6100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14379264  	0xDB6900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14381312  	0xDB7100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14383360  	0xDB7900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14385408  	0xDB8100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14387456  	0xDB8900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14389504  	0xDB9100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14391552  	0xDB9900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14393600  	0xDBA100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14395648  	0xDBA900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14397696  	0xDBB100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14399744  	0xDBB900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14401792  	0xDBC100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14403840  	0xDBC900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14405888  	0xDBD100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14407936  	0xDBD900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14409984  	0xDBE100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14412032  	0xDBE900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14414080  	0xDBF100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14416128  	0xDBF900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14418176  	0xDC0100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14420224  	0xDC0900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14422272  	0xDC1100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14424320  	0xDC1900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14426368  	0xDC2100  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14428416  	0xDC2900  	PC bitmap, Windows 3.x format, 52 x 13 x 1
14430464  	0xDC3100  	PC bitmap, Windows 3.x format, 17 x 11 x 1
14432512  	0xDC3900  	PC bitmap, Windows 3.x format, 44 x 28 x 1
14434560  	0xDC4100  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14436608  	0xDC4900  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14438656  	0xDC5100  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14440704  	0xDC5900  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14442752  	0xDC6100  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14444800  	0xDC6900  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14446848  	0xDC7100  	PC bitmap, Windows 3.x format, 52 x 24 x 1
14448896  	0xDC7900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
14450944  	0xDC8100  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14452992  	0xDC8900  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14455040  	0xDC9100  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14457088  	0xDC9900  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14459136  	0xDCA100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14461184  	0xDCA900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14463232  	0xDCB100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14465280  	0xDCB900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14467328  	0xDCC100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14469376  	0xDCC900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14471424  	0xDCD100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14473472  	0xDCD900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14475520  	0xDCE100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14477568  	0xDCE900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14479616  	0xDCF100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14481664  	0xDCF900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14483712  	0xDD0100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14485760  	0xDD0900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14487808  	0xDD1100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14489856  	0xDD1900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14491904  	0xDD2100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14493952  	0xDD2900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14496000  	0xDD3100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14498048  	0xDD3900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14500096  	0xDD4100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14502144  	0xDD4900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14504192  	0xDD5100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14506240  	0xDD5900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14508288  	0xDD6100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14510336  	0xDD6900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14512384  	0xDD7100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14514432  	0xDD7900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14516480  	0xDD8100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14518528  	0xDD8900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14520576  	0xDD9100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14522624  	0xDD9900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14524672  	0xDDA100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14526720  	0xDDA900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14528768  	0xDDB100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14530816  	0xDDB900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14532864  	0xDDC100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14534912  	0xDDC900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14536960  	0xDDD100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14539008  	0xDDD900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14541056  	0xDDE100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14543104  	0xDDE900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14545152  	0xDDF100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14547200  	0xDDF900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14549248  	0xDE0100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14551296  	0xDE0900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14553344  	0xDE1100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14555392  	0xDE1900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14557440  	0xDE2100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14559488  	0xDE2900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14561536  	0xDE3100  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14563584  	0xDE3900  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14565632  	0xDE4100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14567680  	0xDE4900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14569728  	0xDE5100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14571776  	0xDE5900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14573824  	0xDE6100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14575872  	0xDE6900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14577920  	0xDE7100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14579968  	0xDE7900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14582016  	0xDE8100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14584064  	0xDE8900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14586112  	0xDE9100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14588160  	0xDE9900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14590208  	0xDEA100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14592256  	0xDEA900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14594304  	0xDEB100  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14596352  	0xDEB900  	PC bitmap, Windows 3.x format, 54 x 14 x 1
14598400  	0xDEC100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14600448  	0xDEC900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14602496  	0xDED100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14604544  	0xDED900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14606592  	0xDEE100  	PC bitmap, Windows 3.x format, 58 x 11 x 1
14608640  	0xDEE900  	PC bitmap, Windows 3.x format, 58 x 11 x 1
